Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FBN,EQ,8-Dec-22,132.1,132.7,136.2,132.25,135.95,135.75,135.02,16928789,2285662090.20,73134,9064046,53.54
FBN,EQ,9-Dec-22,135.75,136.4,138.2,132.6,133.85,133.85,135.59,12091632,1639493116,48641,3562441,29.46
FBN,EQ,12-Dec-22,133.85,133.95,134.4,132.25,134.1,134,133.33,5392164,718948144.5,31718,1039082,19.27
FBN,EQ,13-Dec-22,134,134.6,137.4,134.1,136.2,136.25,136.25,10645314,1450433376,66807,4005958,37.63
FBN,EQ,14-Dec-22,136.25,136.95,137.65,136,136.55,136.75,136.85,7409698,1014023728,37914,2553869,34.47
FBN,EQ,15-Dec-22,136.75,136.75,142.2,136.25,137.7,137.85,139.46,30030543,4187938373,105718,9383559,31.25
FBN,EQ,16-Dec-22,137.85,137.55,139.75,135.35,136.35,136.05,137.23,14600806,2003740412,74893,3957183,27.1
FBN,EQ,19-Dec-22,136.05,136.25,137.75,134.4,136.5,136.85,136.63,10385302,1418900893,41963,4197199,40.41
FBN,EQ,20-Dec-22,136.85,136.7,137.35,133.3,134.95,134.95,134.64,10008151,1347497846,47302,3083101,30.81
FBN,EQ,21-Dec-22,134.95,135.6,136.25,130.35,131.2,130.9,133.46,13127587,1751949897,54617,4476378,34.1
FBN,EQ,22-Dec-22,130.9,131.45,132.35,127.1,127.7,127.95,128.79,17643887,2272332614,68670,8230773,46.65
